Kode,Nama_Indo,Nama_Mandarin,Foto
BGA001323,Buku catatan kecil,笔记本小,BGA001323
BGA007688,Buku catatan kecil,笔记本小,BGA007688
BGA001504,Buku catatan kecil,笔记本小,BGA001504
BGA000009,Buku catatan kecil,笔记本小,BGA000009
BGA004989,Buku catatan,笔记本,BGA004989
BGA006595,Buku catatan A7,笔记本 A7,BGA006595
BGA000029,Spidol merah,记号笔 红,BGA000029
BGA000030,Spidol hitam,记号笔 黑,BGA000030
BGA000071,Spidol putih,记号笔 白,BGA000071
BGA005347,Spidol 701 merah,记号笔 701 红色,BGA005347
BGA000007,Spidol,白板笔,BGA000007
BGA001543,Spidol,白板笔 蓝,BGA001543
BGA001544,Spidol merah,白板笔 红,BGA001544
BGA000066,Pulpen Gel,中性笔,BGA000066
BGA000404,Pulpen gel merah,中性笔 红色,BGA000404
BGA003651,Pulpen Warna biru,中性笔 蓝色,BGA003651
BGA003445,Smartpen 190.361.922.6,智能笔 190.361.922.6,BGA003445
BGA000049,Pensil dua warna,双色铅笔,BGA000049
BGA000050,Pensil,铅笔,BGA000050
BGA000175,Kapur,粉笔,BGA000175
BGA001514,Pulpen isi ulang,中性笔芯,BGA001514
BGA000051,Pulpen isi ulang,水笔笔芯,BGA000051
BGA000064,Tipe-X,修正液,BGA000064
BGA000061,Penghapus,橡皮擦,BGA000061
BGA000008,Penghapus papan tulis,白板擦,BGA000008
BGA000205,Tempat Pulpen,笔筒,BGA000205
BGA005443,Stabilo HL warna acak,荧光笔 HL 颜色随机,BGA005443
BGA000036,Stabilo,荧光笔,BGA000036
BGA000045,Staple remover,起钉器,BGA000045
BGA002140,Stapler besar E0394,重型订书机 E0394,BGA002140
BGA000023,Stapler,订书机,BGA000023
BGA004147,Stapler ZRM HD-50,订书机 ZRM HD-50,BGA004147
BGA000024,Staples,订书针,BGA000024
BGA000217,Staples besar,订书针 大,BGA000217
BGA000218,Staples kecil,订书针 小,BGA000218
BGA003820,Staples besar 23/13,重型订书机订书针 2313,BGA003820
BGA006873,Rautan Pensil SP-362,卷笔刀 SP-362,BGA006873
BGA000176,Selotip bening,透明胶带,BGA000176
BGA001742,Selotip kertas 5cm*75/Gulungan,接缝牛皮纸带 5cm*75/卷,BGA001742
BGA000353,Double Tape (Standar),双面胶,BGA000353
BGA000200,Double Tape (Foam),泡沫双面胶,BGA000200
BGA000034,Lem 50g,胶水 50g,BGA000034
BGA004171,Lem ZG50 50ml,胶水 ZG50 50ml,BGA004171
BGA001565,Lem 25gr,固体胶 25gr,BGA001565
BGA000237,Lem 25gr,固体胶 25gr,BGA000237
BGA000238,Klip panjang 51MM,长尾夹 51MM,BGA000238
BGA000241,Klip panjang 32MM,长尾夹 32MM,BGA000241
BGA000242,Klip panjang 25MM,长尾夹 25MM,BGA000242
BGA000222,Klip kertas kecil,小回形针,BGA000222
BGA000212,Klip kertas besar,大回形针,BGA000212
BGA000027,Klip kertas,回形针,BGA000027
BGA000719,Jarum,大头针,BGA000719
BGA000038,Cutter,美工刀片,BGA000038
BGA001785,Cutter 18mm,美工刀片 18mm,BGA001785
BGA007473,Cutter,美工刀片,BGA007473
BGA006003,Cutter 18MM,美工刀 18MM,BGA006003
BGA000279,Mistar,塑料直尺,BGA000279
BGA000390,Mistar 300MM,塑料直尺 300MM,BGA000390
BGA000229,Rak dokumen,三层文件盘,BGA000229
BGA000058,Box dokumen,塑料文件架,BGA000058
BGA000413,Map plastik,资料袋,BGA000413
BGA000057,Map plastik,塑料文件夹,BGA000057
BGA000056,Map plastik,塑料文件盒,BGA000056
BGA000187,Map Plastik,塑料文件袋,BGA000187
BGA005440,"Map Plastik 23,5*32CM",塑料档案盒 23.5*32cm,BGA005440
BGA007180,"Map Plastik 36*24,5CM",按扣式文件袋 36*24.5CM,BGA007180
BGA005635,Map dokumen 75MM,文件盒 75MM,BGA005635
BGA006034,Map dokumen,文件袋,BGA006034
BGA001491,Map dokumen,文件册,BGA001491
BGA000021,Map dokumen,档案袋,BGA000021
BGA000063,Amplop,信封,BGA000063
BGA004395,Bantex clipboard F4,文件夹板 F4,BGA004395
BGA000069,Bantex clipboard A4,A4板夹,BGA000069
BGA003726,Bantex A4,打孔文件盒 A4,BGA003726
BGA000035,Bantex,穿孔文件夹,BGA000035
BGA000769,Bantex,快劳夹,BGA000769
BGA000733,Pemotong kertas A4,切纸机 A4,BGA000733
BGA000046,Pemotong kertas,切纸机,BGA000046
BGA000368,Pemotong kertas A3,裁纸刀 A3,BGA000368
